	SRR1267943	SRR1267944	SRR1267945	SRR1267946	SRR1267947	SRR1267948	SRR1267949	SRR1267950	SRR1267951	SRR1267952	SRR1267953	SRR1267954	SRR1267955	SRR1267956	SRR1267957	SRR1267959	SRR1267960	SRR1267961	SRR1267962	SRR1267963	SRR1267964	SRR1267965	SRR1267966	SRR1267967	SRR1267968	SRR1267969	SRR1267970	SRR1267971	SRR1267972	SRR1267973	SRR1267974	SRR1267975	SRR1267976	SRR1267977	SRR1267978	SRR1267979	SRR1267980	SRR1267981	SRR1267982	SRR1267983	SRR1267984	SRR1267985	SRR1267986	SRR1267987	SRR1267988	SRR1267989	SRR1267990	SRR1267991	SRR1267958
ENSMUSG00000021097_Clmn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000046449_C77370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000090509_Sfta2	0.0	0.0	0.0	0.0	0.0	8467.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2139.99	26.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.29	0.0	0.0	0.0	0.0	0.0	0.0	154.66	0.0	0.0	5.1	0.0	0.0	0.0	0.0	0.0	0.0	150.89	0.0	0.0	0.0
ENSMUSG00000025885_Myo5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4777.4	0.0	0.0	2064.84	463.23	5828.71	0.0	1733.85	0.0	0.0	0.0	1670.55	0.0	0.0	0.0	0.0	0.0	104.72	0.0	0.0	0.0	2742.22	20.52	0.0	0.0	0.0	7.06	1590.43	0.0	0.0	13.67	0.0	0.0	22.3	0.0	0.0	0.0	62.45	17.57	12488.16
ENSMUSG00000061864_Galntl6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000045613_Chrm2	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	197.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.44	0.0	5.27	3.66	9.65	0.0	1.02	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	7.95
ENSMUSG00000022533_Atp13a3	10118.58	39208.64	0.0	4744.86	3893.35	9122.72	25717.52	3745.97	17467.87	35599.81	0.0	0.0	21670.89	16399.63	110567.43	0.0	27223.82	0.0	12879.86	39992.83	9341.55	30441.42	43053.23	0.0	60165.11	0.0	13065.37	0.0	0.0	110101.05	13096.34	14892.24	11060.03	11818.71	7312.35	12370.25	17418.91	11888.74	23397.34	27486.18	27173.77	28539.43	12146.01	0.0	48707.74	10808.57	57498.17	15990.03	14723.64
ENSMUSG00000097307_Gm26834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000081477_Gm7916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000019890_Nts	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
